1	7.27	-20.16	13.4	0.118
2	6.42	-17.95	15.0	0.191
3	7.94	-15.71	17.9	0.222
4	9.55	-15.01	11.5	0.172
5	11.89	-10.79	18.7	0.178
6	13.08	-9.45	18.3	0.233
7	6.37	-11.51	14.6	0.199
8	-4.02	-15.21	17.8	0.229
9	10.36	-8.13	18.7	0.223
10	-1.24	-12.68	12.8	0.086
11	-4.33	-13.42	7.3	0.075
12	2.80	-8.60	16.9	0.219
13	12.03	-4.14	8.4	0.080
14	1.37	-8.04	12.3	0.139
15	6.09	-6.11	5.0	0.064
16	1.21	-7.57	19.3	0.221
17	13.05	-2.61	17.4	0.195
18	-5.99	-9.87	13.7	0.124
19	8.76	-3.89	17.2	0.240
20	-4.91	-7.93	13.6	0.161
21	-10.31	-9.75	9.6	0.099
22	14.97	1.15	14.3	0.158
23	18.47	2.71	17.5	0.189
24	6.90	-1.73	17.7	0.158
25	-2.46	-4.59	15.8	0.199
26	-1.82	-3.97	14.9	0.198
27	-11.35	-6.87	15.9	0.211
28	-16.93	-8.95	11.2	0.076
29	2.70	-0.97	16.2	0.234
30	-15.00	-7.69	14.2	0.124
31	18.60	5.79	16.4	0.223
32	-18.76	-8.75	17.7	0.243
33	8.94	2.50	15.1	0.203
34	-16.36	-6.97	16.4	0.184
35	-13.80	-4.61	12.3	0.128
36	1.75	2.21	17.2	0.299
37	-20.63	-6.58	13.8	0.148
38	-19.79	-5.93	16.2	0.176
39	-8.40	-1.31	15.2	0.238
40	5.39	4.97	16.4	0.220
41	-14.32	-1.96	15.4	0.179
42	-3.80	2.53	12.3	0.130
43	-15.94	-2.14	14.0	0.141
44	-2.90	3.18	11.8	0.091
45	14.79	10.34	17.8	0.266
46	2.85	6.01	15.6	0.202
47	8.84	8.52	17.4	0.213
48	-11.10	0.85	7.4	0.156
49	-6.32	3.13	9.2	0.093
50	-14.44	0.83	14.1	0.174
51	-9.58	3.64	16.6	0.215
52	-15.50	1.34	14.4	0.119
53	-6.59	5.17	5.9	0.058
54	-13.31	2.75	18.6	0.212
55	-9.74	4.35	8.2	0.127
56	8.78	12.19	15.8	0.190
57	-11.93	4.56	14.9	0.151
58	2.13	11.12	17.3	0.253
59	6.13	13.99	18.0	0.267
60	-14.09	6.84	17.1	0.183
61	-6.54	10.04	18.9	0.290
62	-9.78	9.08	18.2	0.251
63	-12.79	8.53	13.0	0.112
64	-10.84	9.72	12.8	0.112
65	1.80	14.89	22.0	0.364
66	-11.77	9.50	17.6	0.202
67	-8.50	10.80	16.5	0.181
68	-11.25	10.93	9.2	0.094
69	-8.13	13.93	11.8	0.183
70	-5.31	18.28	15.5	0.132
71	12.50	-9.77	9.6	0.087
72	-6.06	-8.96	9.2	0.066
73	-5.34	-7.80	9.7	0.070
74	9.54	-4.44	10.3	0.090
75	-8.18	-2.00	7.5	0.079
76	-8.37	-3.59	7.5	0.064
77	-7.63	-5.95	12.6	0.105
78	-12.20	-7.42	7.8	0.064
79	-14.76	-10.35	7.7	0.056
80	19.43	5.85	6.7	0.089
81	-15.27	-5.64	7.6	0.053
82	-2.88	0.16	5.8	0.055
83	-7.01	17.72	6.5	0.052
84	-7.07	17.44	10.1	0.071
